"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"EM-48","Story","EM-17","DashBoard(backend)","Done","Nahian","EM Sprint 6","","2025/10/10","","2025/10/11","purple"
"EM-24","Story","EM-17","Create a inventory and capacity database","Done","Nahian","EM Sprint 6","","2025/10/10","","2025/10/11","purple"
"EM-45","Story","EM-17","shop","Done","Al Mahmud","EM Sprint 6","","2025/10/10","","2025/10/11","purple"
"EM-44","Story","EM-17","shop (backend)","Done","Al Mahmud","EM Sprint 6","","2025/10/10","","2025/10/11","purple"
"EM-47","Story","EM-17","DashBoard(Fronted)","Done","Nahian","EM Sprint 6","","2025/10/10","","2025/10/11","purple"
"EM-49","Story","EM-17","Booking_success","Done","Prothom Ghosh","EM Sprint 6","","2025/10/10","","2025/10/11","purple"
"EM-25","Epic","","Prerequisite","To Do","","","","2025/10/05","","2025/10/11","purple"
"EM-26","Story","EM-25","ER Diagram","Done","Prothom Ghosh","EM Sprint 2","","2025/10/05","","2025/10/06","purple"
"EM-30","Story","EM-25","Data Flow Diagram Level - 0","Done","Nahian","EM Sprint 2","","2025/10/05","","2025/10/06","purple"
"EM-31","Story","EM-25","Class Diagram","Done","Nahian","EM Sprint 2","","2025/10/05","","2025/10/06","purple"
"EM-28","Story","EM-25","UML (Activity Diagram)","Done","Al Mahmud","EM Sprint 2","","2025/10/05","","2025/10/06","purple"
"EM-29","Story","EM-25","UML (Sequence Diagram)","Done","Prothom Ghosh","EM Sprint 2","","2025/10/05","","2025/10/06","purple"
"EM-27","Story","EM-25","UML (Use Case Diagram)","Done","Al Mahmud","EM Sprint 2","","2025/10/05","","2025/10/06","purple"
"EM-42","Story","EM-25","Data Flow Diagram Level - 1","Done","Nahian","EM Sprint 7","","2025/10/10","","2025/10/11","purple"
"EM-43","Story","EM-25","Data Flow Diagram Level - 2","Done","Prothom Ghosh","EM Sprint 7","","2025/10/10","","2025/10/11","purple"
"EM-32","Epic","","UI Mockup","To Do","","","","2025/10/06","","2025/10/08","dark_purple"
"EM-33","Story","EM-32","Login Page (Mockup)","Done","Nahian","EM Sprint 3","","2025/10/06","","2025/10/08","purple"
"EM-40","Story","EM-32","Cart Mockup","Done","Prothom Ghosh","EM Sprint 3","","2025/10/06","","2025/10/08","purple"
"EM-34","Story","EM-32","Signup Mockup","Done","Al Mahmud","EM Sprint 3","","2025/10/06","","2025/10/08","purple"
"EM-35","Story","EM-32","Forgot Password Mockup","Done","Al Mahmud","EM Sprint 3","","2025/10/06","","2025/10/08","purple"
"EM-41","Story","EM-32","Payment Gateway Mockup","Done","Nahian","EM Sprint 3","","2025/10/06","","2025/10/08","purple"
"EM-38","Story","EM-32","Shop Mockup","Done","Al Mahmud","EM Sprint 3","","2025/10/06","","2025/10/08","purple"
"EM-36","Story","EM-32","Home Page Mockup","Done","Nahian","EM Sprint 3","","2025/10/06","","2025/10/08","purple"
"EM-39","Story","EM-32","Service Mockup","Done","Prothom Ghosh","EM Sprint 3","","2025/10/06","","2025/10/08","purple"
"EM-37","Story","EM-32","Profile Mockup ","Done","Prothom Ghosh","EM Sprint 3","","2025/10/06","","2025/10/08","purple"
